@relation cmo1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
-0.004782,0.008213,0.003064,1
-0.009755,0.014417,-0.016864,1
-0.022195,0.07009,0.003064,1
-0.00726,0.014417,0.003064,1
-0.017222,0.002009,0.022991,1
-0.017222,0.02058,-0.016864,1
-0.022195,-0.004154,-0.006933,1
-0.017222,0.014417,0.022991,1
-0.017222,0.032947,0.072843,1
-0.017222,0.008213,0.003064,1
-0.014728,-0.035093,0.012995,1
-0.012233,0.002009,-0.016864,1
-0.014728,0.014417,0.003064,1
-0.014728,0.008213,0.072843,1
-0.012233,0.026784,-0.046788,1
-0.014728,0.063886,0.012995,1
-0.012233,0.02058,-0.006933,1
-0.017222,-0.004154,-0.006933,1
-0.014728,0.088661,0.003064,1
-0.014728,0.088661,0.032988,1
-0.014728,0.002009,0.082839,1
-0.009755,-0.016522,0.022991,1
-0.014728,0.039151,0.032988,1
-0.009755,0.014417,0.022991,1
-0.012233,-0.022725,0.012995,1
-0.00726,-0.010358,-0.016864,1
-0.012233,0.02058,0.072843,1
-0.014728,-0.004154,-0.016864,1
-0.017222,0.02058,-0.046788,1
-0.017222,-0.028889,-0.096639,1
-0.014728,0.014417,-0.036791,1
-0.014728,0.039151,-0.016864,1
-0.012233,0.008213,0.022991,1
-0.009755,-0.053664,-0.036791,1
-0.004782,-0.022725,-0.046788,1
-0.00726,-0.028889,-0.036791,1
-0.012233,-0.016522,0.003064,1
-0.012233,0.032947,-0.056784,1
-0.012233,0.02058,-0.016864,1
-0.014728,0.002009,0.062846,1
-0.012233,-0.078398,-0.016864,1
-0.00726,0.014417,-0.016864,1
-0.014728,0.039151,0.022991,1
-0.014728,-0.022725,0.052915,1
-0.00726,-0.066031,0.102767,1
-0.017222,-0.035093,-0.006933,1
-0.00726,-0.035093,-0.016864,1
-0.014728,-0.059827,-0.056784,1
-0.009755,0.026784,0.042919,1
-0.012233,0.008213,-0.036791,1
-0.012233,-0.010358,0.003064,1
-0.009755,-0.010358,0.012995,1
-0.012233,0.014417,-0.016864,1
-0.012233,-0.016522,0.012995,1
-0.014728,0.002009,0.022991,1
-0.009755,-0.059827,0.072843,1
-0.009755,-0.084602,0.052915,1
-0.00726,-0.11554,-0.016864,1
-0.014728,-0.066031,-0.006933,1
0.000191,-0.090765,0.022991,1
-0.014728,-0.016522,-0.02686,1
-0.00726,0.045355,0.062846,1
-0.00726,0.039151,0.022991,1
-0.014728,-0.004154,0.022991,1
-0.002287,0.051518,0.042919,1
-0.017222,0.014417,0.022991,1
-0.009755,-0.022725,-0.016864,1
-0.017222,0.026784,-0.036791,1
-0.009755,0.051518,0.032988,1
-0.014728,0.032947,-0.016864,1
-0.012233,0.032947,-0.016864,1
-0.00726,0.057722,-0.076712,1
-0.002287,0.051518,-0.086643,1
-0.014728,0.002009,-0.036791,1
-0.00726,0.014417,-0.016864,1
-0.012233,-0.016522,0.032988,1
-0.014728,-0.035093,-0.006933,1
-0.017222,-0.004154,0.022991,1
-0.004782,0.045355,0.052915,1
-0.00726,-0.016522,0.052915,1
-0.00726,-0.016522,0.022991,1
-0.009755,-0.053664,0.003064,1
-0.012233,-0.022725,0.032988,1
-0.00726,-0.04746,0.052915,1
-0.012233,0.002009,0.022991,1
-0.012233,-0.053664,0.022991,1
-0.012233,-0.066031,0.003064,1
-0.009755,-0.035093,0.032988,1
-0.017222,0.014417,-0.016864,1
-0.014728,0.063886,0.032988,1
-0.012233,-0.022725,0.022991,1
-0.012233,-0.022725,0.022991,1
-0.00726,0.002009,0.032988,1
-0.012233,-0.04746,0.062846,1
-0.017222,0.008213,0.003064,1
-0.012233,0.02058,0.003064,1
-0.009755,0.032947,0.042919,1
-0.014728,-0.004154,0.022991,1
-0.019701,-0.004154,0.003064,1
-0.00726,0.032947,-0.016864,1
-0.019701,0.02058,-0.016864,1
-0.019701,0.02058,0.022991,1
-0.014728,-0.016522,0.003064,1
-0.012233,-0.022725,0.003064,1
-0.014728,0.002009,0.062846,1
-0.004782,0.002009,0.022991,1
-0.017222,0.045355,0.082839,1
-0.014728,0.014417,0.052915,1
-0.014728,0.002009,0.022991,1
-0.012233,-0.028889,-0.016864,1
-0.014728,-0.028889,0.042919,1
-0.017222,-0.022725,-0.056784,1
-0.00726,0.039151,-0.046788,1
-0.012233,-0.016522,-0.076712,1
-0.019701,0.02058,-0.036791,1
-0.012233,-0.004154,-0.066715,1
