@relation wtSc
@attribute classIds {'1','3','4','5','6','7'}
@attribute W11 numeric
@attribute W12 numeric
@attribute W13 numeric
@attribute W14 numeric
@attribute W15 numeric
@attribute W16 numeric
@attribute W17 numeric
@attribute W18 numeric
@attribute W19 numeric
@attribute W110 numeric
@attribute W111 numeric
@attribute W112 numeric
@attribute W113 numeric
@attribute W114 numeric
@attribute W115 numeric
@attribute W116 numeric
@attribute W117 numeric
@attribute W118 numeric
@attribute W119 numeric
@attribute W120 numeric
@attribute W121 numeric
@attribute W122 numeric
@attribute W123 numeric
@attribute W124 numeric
@attribute W125 numeric
@attribute W126 numeric
@attribute W127 numeric
@attribute W128 numeric
@attribute W129 numeric
@attribute W130 numeric
@attribute W131 numeric
@attribute W132 numeric
@attribute W133 numeric
@attribute W134 numeric
@attribute W135 numeric
@attribute W136 numeric
@attribute W137 numeric
@attribute W138 numeric
@attribute W139 numeric
@attribute W140 numeric
@attribute W141 numeric
@attribute W142 numeric
@attribute W143 numeric
@attribute W144 numeric
@attribute W145 numeric
@attribute W146 numeric
@attribute W147 numeric
@attribute W148 numeric
@attribute W149 numeric
@attribute W150 numeric
@attribute W151 numeric
@attribute W152 numeric
@attribute W153 numeric
@attribute W154 numeric
@attribute W155 numeric
@attribute W156 numeric
@attribute W157 numeric
@attribute W158 numeric
@attribute W159 numeric
@attribute W160 numeric
@attribute W161 numeric
@attribute W162 numeric
@attribute W163 numeric
@attribute W164 numeric
@attribute W165 numeric
@attribute W166 numeric
@attribute W167 numeric
@attribute W168 numeric
@attribute W169 numeric
@attribute W170 numeric
@attribute W171 numeric
@attribute W172 numeric
@attribute W173 numeric
@attribute W174 numeric
@attribute W175 numeric
@attribute W176 numeric
@attribute W177 numeric
@attribute W178 numeric
@attribute W179 numeric
@attribute W180 numeric
@attribute W181 numeric
@attribute W182 numeric
@attribute W183 numeric
@attribute W184 numeric
@attribute W185 numeric
@attribute W186 numeric
@attribute W187 numeric
@attribute W188 numeric
@attribute W189 numeric
@attribute W190 numeric
@attribute W191 numeric
@attribute W192 numeric
@attribute W193 numeric
@attribute W194 numeric
@attribute W195 numeric
@attribute W196 numeric
@attribute W197 numeric
@attribute W198 numeric
@attribute W199 numeric
@attribute W21 numeric
@attribute W22 numeric
@attribute W23 numeric
@attribute W24 numeric
@attribute W25 numeric
@attribute W26 numeric
@attribute W27 numeric
@attribute W28 numeric
@attribute W29 numeric
@attribute W210 numeric
@attribute W211 numeric
@attribute W212 numeric
@attribute W213 numeric
@attribute W214 numeric
@attribute W215 numeric
@attribute W216 numeric
@attribute W217 numeric
@attribute W218 numeric
@attribute W219 numeric
@attribute W220 numeric
@attribute W221 numeric
@attribute W222 numeric
@attribute W223 numeric
@attribute W224 numeric
@attribute W225 numeric
@attribute W226 numeric
@attribute W227 numeric
@attribute W228 numeric
@attribute W229 numeric
@attribute W230 numeric
@attribute W231 numeric
@attribute W232 numeric
@attribute W233 numeric
@attribute W234 numeric
@attribute W235 numeric
@attribute W236 numeric
@attribute W237 numeric
@attribute W238 numeric
@attribute W239 numeric
@attribute W240 numeric
@attribute W241 numeric
@attribute W242 numeric
@attribute W243 numeric
@attribute W244 numeric
@attribute W245 numeric
@attribute W246 numeric
@attribute W247 numeric
@attribute W248 numeric
@attribute W249 numeric
@attribute W31 numeric
@attribute W32 numeric
@attribute W33 numeric
@attribute W34 numeric
@attribute W35 numeric
@attribute W36 numeric
@attribute W37 numeric
@attribute W38 numeric
@attribute W39 numeric
@attribute W310 numeric
@attribute W311 numeric
@attribute W312 numeric
@attribute W313 numeric
@attribute W314 numeric
@attribute W315 numeric
@attribute W316 numeric
@attribute W317 numeric
@attribute W318 numeric
@attribute W319 numeric
@attribute W320 numeric
@attribute W321 numeric
@attribute W322 numeric
@attribute W323 numeric
@attribute W324 numeric
@attribute W41 numeric
@attribute W42 numeric
@attribute W43 numeric
@attribute W44 numeric
@attribute W45 numeric
@attribute W46 numeric
@attribute W47 numeric
@attribute W48 numeric
@attribute W49 numeric
@attribute W410 numeric
@attribute W411 numeric
@attribute W412 numeric
@attribute W51 numeric
@attribute W52 numeric
@attribute W53 numeric
@attribute W54 numeric
@attribute W55 numeric
@attribute W56 numeric
@attribute W61 numeric
@attribute W62 numeric
@attribute W63 numeric
@attribute W7 numeric
@attribute V195 numeric
@data
'1',0.209688990617895,0.313550824253125,0.0397202856053893,0.285767712901642,-0.102463131874413,-0.105613340204926,0.0784657917197091,0.0684643593142115,0.067748895210443,0,-0.0509238835448061,0,0,0,0,-0.059685781536682,0,0,-0.0095454683506852,0,0,0,0,0.0225731411088555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585110355278303,0,0,0,0,0,0,0,0,0,0.0454355016010252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583738686959396,0.262151467645191,0.428978624418234,-0.0602661732506099,0.25130224468438,-0.0754389058410064,-0.0614936879248367,-0.127563969116174,-0.0422042208650066,-0.00674966540037109,0,0,0.0159616211507526,0,0,0,0.116212610305969,0,0,0.0413735499959758,0,0,0,0,0.0321277512886972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412765583989921,-0.421958346492272,0.2517434624335,-0.284568897299403,-0.0739366698527122,-0.0175440157360813,0.0112865705544277,0,0.0821747248067402,0.0292555177639152,0,0,0.0681532524015378,0,0,0,0.118285531637552,0,0,0,0,0,0,0,0.0291869343479698,0.531752932495448,-0.507678349337584,0.0434601815314074,0.174318915458953,0.144807424985915,0.0803193782217429,0,0.0836405015371691,0,0,0,0.020638279199496,-0.470213971192887,0.442597888908911,0.159188689174985,0.0591427658187761,0,0.0145934671739849,-0.653616905516068,0.331086284460248,0.0103191395997481,0.655409451218125,1.48031625312298
'3',0.136523331550119,0.093638780035346,0.107658206829545,0.0206978532069524,-0.0879850659172589,-0.00688593723738865,-0.00206632331229541,0.0144817283684205,0.0435558343581294,0,-0.0158918618670769,0,0,0,0,-0.00897624728307117,0,0,0.00102960349968716,0,0,0,0,-0.0202534823804529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00990240700398319,0,0,0,0,0,0,0,0,0,-0.0224729857401656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253130615475738,-0.00401960217650655,0.00167330714000472,-0.0208304799927946,0.0470752190224392,-0.0288135017857305,0.0262534960483378,-0.0444304468946302,-0.00634716532346695,0.000728039616562197,0,0,-0.0143213747338605,0,0,0,0.0245162883668018,0,0,-0.00700205914258567,0,0,0,0,-0.0158908006103797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178990374728819,-0.195957728036517,0.110266699942715,-0.0384523848781909,0.0266223481618156,-0.05346225572346,-0.0101267411902264,0,0.0173356337536904,-0.00495120350199159,0,0,-0.0337094786102483,0,0,0,0.00592202366850248,0,0,0,0,0,0,0,0.0126565307737869,0.106518724771557,-0.0718370420488658,-0.0879283351280996,0.0367744325502027,-0.0245072069990499,-0.0397270015259491,0,0.00418750309434535,0,0,0,0.00894951873644092,0.113216464526928,-0.00110596428493439,-0.0454204444321775,0.00296101183425124,0,0.00632826538689343,-0.114080405800781,-0.117422756072415,0.00447475936822045,-0.059139211551213,-0.314823382452427
'4',0.00115563882914678,0.0594594968929504,0.0363898359853353,0.0512500775270932,-0.0207392223480232,-0.0449799220314987,-0.00172399456511353,0.0174660791628231,0.0175008654814148,0,0.00347828879765763,0,0,0,0,-0.0164681796748205,0,0,-0.00310687357323229,0,0,0,0,0.000312168384161579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182125341258907,0,0,0,0,0,0,0,0,0,0.0147296917932553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409906570809756,-0.0198583810276113,0.0839910596219829,-0.0648664610766854,0.0842353882295561,0.0204586073335439,-0.0128050172215606,-0.0120411586976693,-0.0116447615218641,-0.00219689137192183,0,0,0.000220736381312703,0,0,0,0.0121975422136296,0,0,0.0128782063830088,0,0,0,0,0.0104154649517987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289847715872502,-0.168629798220328,0.122712779234726,-0.0284899506959568,-0.0399598702927356,0.00812349378565447,0.00015608419208079,0,0.00862496481306668,0.00910626706294538,0,0,0.022094537689883,0,0,0,0.0102956599534866,0,0,0,0,0,0,0,0.00204953285404878,0.0422734330681805,-0.095376775855371,0.00651675487735751,0.0182963133204444,0.0450737223405306,0.0260386623794967,0,0.00728013096990113,0,0,0,0.00144923857936251,0.0458140085208566,0.0131062561709661,0.0502840494618779,0.00514782997674329,0,0.00102476642702438,-0.105401885929781,0.0964813150798569,0.000724619289681261,0.104769785201478,0.241401667790229
'5',0.0544637425329829,-0.011864215022189,-0.112189040482156,0.112478189590216,-0.0732673517836879,0.00956248027171618,0.0563801592560259,0.0161639978390145,-0.0146737135874729,0,-0.0316074160659552,0,0,0,0,0.0041678043160743,0,0,0.0208268279376033,0,0,0,0,0.0269127156564759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861622248650851,0,0,0,0,0,0,0,0,0,0.00108346061738317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143424817570436,0.190844890628782,0.00187890144545126,0.113017572830133,0.00137684695731881,-0.0649973436891501,-0.0321383103875802,-0.00902771028468412,0.00294708269455471,0.0147267912652847,0,0,0.0190301637408395,0,0,0,0.0233120976467985,0,0,0.00609258934842218,0,0,0,0,0.000766122349700207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101416661094499,-0.0797698500451703,-0.106936504850681,-0.0603775604175058,0.0398334172745352,0.0511548197319439,0.013456357828238,0,0.0164841423297341,0.00430811124325425,0,0,0.00162519092607476,0,0,0,-0.0136525498079224,0,0,0,0,0,0,0,-0.00717124087852181,0.153645156869214,-0.0147133651310817,0.102777493015771,0.0349681464701977,0.0213240627194776,0.00191530587425051,0,-0.00965381054966899,0,0,0,-0.00507083305472494,-0.382914563426195,0.20497551237497,0.0164327151231189,-0.00682627490396115,0,-0.00358562043926089,0.179279764631157,0.0110064519453807,-0.00253541652736247,-0.0417939977399761,0.741596988490953
'6',-0.0719142190687447,-0.068907723607002,-0.0558219144958969,0.00316829104431706,-0.0123188081268134,0.0108339645848506,0.0115519016039341,0.00141853372746058,-0.000870883694677867,0,0.00582253469583642,0,0,0,0,-0.00345610882715237,0,0,-0.00837775234668457,0,0,0,0,-0.00489313617980747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00353044833854675,0,0,0,0,0,0,0,0,0,-9.67758682796672e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019914906733005,0.0868152742783853,-0.0243491109274298,0.0338506387007307,0.00768211404472717,0.0108531431074974,-0.000693739420956428,0.000934758340452438,-0.00244383798819812,-0.00592396549544217,0,0,-0.0034599697740111,0,0,0,-0.010878669429081,0,0,-0.00249640396081518,0,0,0,0,-6.84308727157655e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00140819655976055,0.00643449657049233,0.0133346331096951,0.00101462585180054,-0.0224556936779933,-0.0107195451270676,-0.00244656808990374,0,-0.00769238092358996,-0.00176522416927337,0,0,-0.000145163802419503,0,0,0,-0.00176889915990416,0,0,0,0,0,0,0,-0.000995745336650249,0.0743372165095518,-0.0215578800799235,-0.0196897572596236,-0.0163180041436215,-0.00873741386285314,-0.000171077181789429,0,-0.00125080059120342,0,0,0,-0.000704098279880279,0.0867530705238237,-0.058056896501351,-0.00629925442780641,-0.000884449579952082,0,-0.000497872668325128,-0.103417043719884,-0.0054560156178597,-0.00035204913994015,-0.0102980690354754,-0.303474334919868
'7',0.0470288745533341,0.00145348918395489,0.0112759861330679,0.00594222132130474,0.00865336013500403,-0.00459727338449542,-0.0089390412665459,0.000805673824870325,-0.00118342323061364,0,-0.00178558181432493,0,0,0,0,-0.00416163651664718,0,0,-0.000270479146447832,0,0,0,0,-0.00485934400254825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000410469851226131,0,0,0,0,0,0,0,0,0,-0.00268227376329645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00133207932476297,-0.045048308485545,0.0223386973739346,-0.00877311248776197,-0.00761281634799854,0.000829789753177794,0.00131584296509308,-0.00222153528171189,-0.00294272140175478,-0.000191257638622812,0,0,-0.00343607509632005,0,0,0,-0.0022600076208262,0,0,-0.00029024601527463,0,0,0,0,-0.00189665396702568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00094192232361829,0.0327478140641699,-0.00151855510554799,0.00279801442622155,-0.00738530766063172,-0.00328758112092747,-0.00242967200127413,0,-0.00159806671421948,-0.000205234925613067,0,0,-0.00402341064494467,0,0,0,-0.00790426727323646,0,0,0,0,0,0,0,-0.000666039662381483,-0.00890629292490718,-0.0142934056403188,-0.0143509337414289,-0.0033900114312393,-0.00101586105346121,-0.00474163491756419,0,-0.00558916098921639,0,0,0,-0.000470961161809134,-0.0238580302312525,-0.0340769518018589,-0.00407116444376629,-0.00395213363661823,0,-0.000333019831190731,-0.0858518479415991,-0.0161049252987621,-0.000235480580904557,-0.0392193472611805,-0.308098019264373
'1',-0.0682072208271699,0.0625264127994372,0.00544251506969113,0.157853750666052,-0.0427253281535943,-0.0566067507955093,0.072437889290299,0.0399348576006398,0.0139633867735623,0,-0.0257511278711359,0,0,0,0,-0.0319276319422026,0,0,-0.00970656035886369,0,0,0,0,0.0361845691733491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461119122111117,0,0,0,0,0,0,0,0,0,0.0503735045160188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187393692400166,0.176103011736905,0.18732860899597,-0.00642302391549823,0.162200275807611,-0.0418600848670963,-0.0811822325653608,-0.0599731256744482,-0.0225762450535597,-0.00686357465174908,0,0,0.0255863542367889,0,0,0,0.0599285308049761,0,0,0.0326060458179559,0,0,0,0,0.0356194466354081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132507350647743,-0.260741223519096,0.0831780009926436,-0.210270400674873,-0.0709048698483653,0.0286543394791035,0.0180922845866746,0,0.0423758705187455,0.0230559561055559,0,0,0.0755602567740282,0,0,0,0.0819874339926493,0,0,0,0,0,0,0,0.00936968462000826,0.288424245527111,-0.326522801324071,0.109813917584857,0.0898927962074642,0.114121160362845,0.0890486165885202,0,0.0579738705482868,0,0,0,0.00662536753238713,-0.552729587086501,0.331707166401035,0.143662727014469,0.0409937169963246,0,0.0046848423100041,-0.473928057176333,0.326478780244571,0.00331268376619359,0.520153799553723,0.709788835177457
'3',0.0580399081576602,0.0646985331241448,0.0533131706148901,0.0399472005267018,-0.0713102349210108,-0.0427804159115785,-0.022202120811004,0.0352675169641126,0.0245425663441152,0,-0.0188633022893647,0,0,0,0,-0.0210376555722471,0,0,0.0142144637175885,0,0,0,0,-0.0220566373773748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757663652132253,0,0,0,0,0,0,0,0,0,-0.0142498652768798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117606614441939,-0.0319999920079881,-0.0341354570795916,-0.0170191164611818,0.051957436618325,-0.00364922578992796,0.0187270871142358,-0.0318413712040778,-0.0148758689154029,0.010051143685637,0,0,-0.0155963978597144,0,0,0,0.0241437277655142,0,0,0.00535749106281281,0,0,0,0,-0.0100761763682764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831604345842869,-0.179992209927442,0.127665418876952,-0.00236179428083957,0.00830372662556138,-0.0160765463437356,-0.0110283186886874,0,0.017072193626117,0.00378831826066126,0,0,-0.0213747979153197,0,0,0,-0.0219597922651595,0,0,0,0,0,0,0,0.00588033072209695,0.111416437869887,-0.072267397295982,-0.0659552274467156,0.0362155916482712,0.0187512187198448,-0.0251904409206911,0,-0.0155279180241422,0,0,0,0.00415802172921434,0.105488546615776,-0.0470892849234967,-0.00455321768378534,-0.0109798961325797,0,0.00294016536104848,-0.0476136757333005,-0.0664025401380146,0.00207901086460717,-0.122342876667136,-0.0848906632506648
'4',-0.00309971355383055,0.060468055194506,0.0458263030802568,0.0432517561473158,-0.0232283805297507,-0.0406881862730077,0.00487530681466303,0.0186725187124319,0.0191652791319873,0,0.00969209931373415,0,0,0,0,-0.0124722787381911,0,0,-0.00872428145686891,0,0,0,0,-0.00424938153474573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699101535070045,0,0,0,0,0,0,0,0,0,0.0070053605009851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043172496485155,-0.0398287643965787,0.039643173028571,-0.0599438842909984,0.0949439272140764,0.0297112870681785,-0.00533435210557561,-0.0111905324767805,-0.00881923287262372,-0.00616899857913206,0,0,-0.0030047664990676,0,0,0,0.00356096557200494,0,0,0.00494339436185954,0,0,0,0,0.00495353791490295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305275650254055,-0.200052983223395,0.142631349120998,-0.0215741404393434,-0.0366972754485593,-0.00990442478728178,-0.00212469076737286,0,0.00251798290353653,0.00349550767535022,0,0,0.0105080407514776,0,0,0,0.00983490400076191,0,0,0,0,0,0,0,0.00215862482425775,0.055258414605803,-0.0788523444183292,-0.0175201686775757,0.00534144835800742,0.0173018802665084,0.0123838447872574,0,0.00695432731125745,0,0,0,0.00152637825127028,0.161985774925494,-0.0211591285683137,0.0209909774899572,0.00491745200038095,0,0.00107931241212888,-0.099711784462947,0.0455644847144778,0.000763189125635139,0.0671807763316092,-0.0183891804045999
'5',0.0544637425329829,-0.011864215022189,-0.112189040482156,0.112478189590216,-0.0732673517836879,0.00956248027171618,0.0563801592560259,0.0161639978390145,-0.0146737135874729,0,-0.0316074160659552,0,0,0,0,0.0041678043160743,0,0,0.0208268279376033,0,0,0,0,0.0269127156564759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861622248650851,0,0,0,0,0,0,0,0,0,0.00108346061738317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143424817570436,0.190844890628782,0.00187890144545126,0.113017572830133,0.00137684695731881,-0.0649973436891501,-0.0321383103875802,-0.00902771028468412,0.00294708269455471,0.0147267912652847,0,0,0.0190301637408395,0,0,0,0.0233120976467985,0,0,0.00609258934842218,0,0,0,0,0.000766122349700207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101416661094499,-0.0797698500451703,-0.106936504850681,-0.0603775604175058,0.0398334172745352,0.0511548197319439,0.013456357828238,0,0.0164841423297341,0.00430811124325425,0,0,0.00162519092607476,0,0,0,-0.0136525498079224,0,0,0,0,0,0,0,-0.00717124087852181,0.153645156869214,-0.0147133651310817,0.102777493015771,0.0349681464701977,0.0213240627194776,0.00191530587425051,0,-0.00965381054966899,0,0,0,-0.00507083305472494,-0.382914563426195,0.20497551237497,0.0164327151231189,-0.00682627490396115,0,-0.00358562043926089,0.179279764631157,0.0110064519453807,-0.00253541652736247,-0.0417939977399761,0.741596988490953
