@relation 'civil-weka.filters.unsupervised.attribute.Remove-R1,5-8-weka.filters.unsupervised.attribute.Standardize'

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
-0.025464,-0.009336,-0.005262,3
-0.025464,-0.027082,-0.003022,3
-0.022414,-0.021175,-0.000781,3
-0.025464,-0.007372,-0.011954,3
-0.028514,-0.003417,-0.007488,3
-0.022414,-0.003417,-0.016435,3
-0.025464,0.008409,-0.009728,3
-0.028514,0.010386,0.003685,3
-0.031544,0.006444,-0.003022,3
-0.031544,0.006444,0.010377,3
-0.031544,0.020248,0.003685,3
-0.022414,0.020248,-0.003022,3
-0.022414,0.006444,0.003685,3
-0.031544,-0.003417,0.001445,3
-0.034594,0.00249,-0.005262,3
-0.025464,0.01827,0.003685,3
-0.025464,0.006444,0.005911,3
-0.028514,0.00249,0.012617,3
-0.028514,0.014328,-0.005262,3
-0.028514,0.01827,-0.018661,3
-0.028514,-0.001452,-0.005262,3
-0.031544,0.004467,0.008151,3
-0.040673,0.004467,0.008151,3
-0.028514,-0.001452,0.003685,3
-0.028514,-0.001452,0.017084,3
-0.025464,-0.015256,-0.009728,3
-0.025464,-0.017233,0.008151,3
-0.031544,-0.003417,-0.003022,3
-0.028514,0.016293,-0.009728,3
-0.037623,0.012351,-0.018661,3
-0.031544,0.010386,-0.009728,3
-0.028514,-0.019198,-0.009728,3
-0.025464,-0.017233,-0.005262,3
-0.031544,-0.005394,-0.011954,3
-0.022414,-0.003417,-0.000781,3
-0.028514,0.004467,-0.011954,3
-0.034594,-0.011314,0.001445,3
-0.037623,0.000525,0.008151,3
-0.031544,0.012351,0.014858,3
-0.037623,0.006444,-0.007488,3
-0.031544,0.008409,0.010377,3
-0.028514,-0.005394,0.012617,3
-0.028514,-0.003417,0.003685,3
-0.028514,-0.009336,-0.000781,3
-0.028514,-0.003417,-0.005262,3
-0.031544,-0.005394,-0.029834,3
-0.037623,0.014328,-0.009728,3
-0.028514,0.006444,-0.011954,3
-0.028514,0.012351,-0.018661,3
-0.034594,0.006444,-0.005262,3
-0.022414,0.006444,-0.016435,3
-0.028514,0.012351,-0.007488,3
-0.031544,0.008409,-0.014195,3
-0.034594,0.004467,-0.023127,3
-0.034594,0.016293,-0.023127,3
-0.040673,-0.021175,-0.005262,3
-0.037623,0.000525,-0.014195,3
-0.034594,0.000525,-0.007488,3
-0.037623,-0.015256,-0.005262,3
-0.040673,0.000525,-0.005262,3
-0.040673,0.010386,0.008151,3
-0.049802,0.014328,0.008151,3
-0.040673,0.00249,0.005911,3
-0.037623,0.00249,0.017084,3
-0.037623,0.022212,0.005911,3
-0.040673,-0.007372,-0.005262,3
-0.040673,0.008409,-0.003022,3
-0.043723,0.022212,0.003685,3
-0.046753,0.00249,-0.023127,3
-0.046753,0.000525,-0.020901,3
-0.046753,-0.011314,0.003685,3
-0.037623,-0.017233,0.02155,3
-0.040673,-0.003417,-0.009728,3
-0.040673,0.00249,0.005911,3
-0.040673,0.000525,-0.005262,3
-0.046753,-0.005394,0.003685,3
-0.043723,-0.001452,0.017084,3
-0.037623,-0.003417,0.003685,3
-0.040673,-0.007372,-0.003022,3
-0.043723,-0.003417,-0.000781,3
-0.040673,-0.013278,0.005911,3
-0.046753,0.004467,0.005911,3
-0.040673,-0.003417,0.008151,3
-0.055882,-0.001452,0.003685,3
-0.040673,-0.003417,0.019324,3
-0.046753,-0.001452,0.003685,3
-0.040673,0.000525,0.003685,3
-0.040673,0.022212,0.012617,3
-0.043723,0.006444,0.012617,3
-0.028514,0.014328,0.005911,3
-0.046753,0.02419,0.014858,3
-0.049802,0.004467,0.012617,3
-0.040673,-0.003417,0.017084,3
-0.040673,-0.007372,-0.005262,3
-0.040673,0.010386,-0.005262,3
-0.040673,-0.013278,0.017084,3
-0.040673,0.004467,0.005911,3
-0.037623,-0.003417,-0.005262,3
-0.037623,0.006444,-0.007488,3
-0.040673,-0.017233,-0.005262,3
-0.040673,-0.02314,-0.000781,3
-0.040673,0.006444,-0.005262,3
-0.043723,-0.003417,-0.003022,3
-0.034594,0.006444,-0.000781,3
-0.049802,0.020248,-0.005262,3
-0.037623,0.016293,-0.000781,3
-0.040673,0.01827,-0.000781,3
-0.037623,0.012351,-0.009728,3
-0.040673,0.008409,-0.009728,3
-0.043723,0.00249,0.017084,3
-0.043723,0.006444,-0.007488,3
-0.034594,-0.001452,-0.009728,3
-0.040673,-0.007372,0.017084,3
-0.034594,-0.011314,0.014858,3
-0.034594,0.008409,0.026031,3
-0.049802,-0.009336,-0.000781,3
-0.049802,-0.011314,0.010377,3
-0.043723,0.004467,0.012617,3
-0.037623,0.004467,-0.000781,3
-0.037623,0.016293,0.003685,3
-0.046753,0.010386,0.008151,3
-0.037623,0.016293,0.005911,3
-0.037623,-0.001452,0.001445,3
-0.043723,0.004467,-0.014195,3
-0.040673,0.004467,-0.014195,3
-0.034594,0.000525,-0.011954,3
-0.049802,-0.013278,-0.000781,3
-0.028514,0.006444,-0.003022,3
-0.037623,0.016293,0.028257,3
-0.037623,0.008409,-0.011954,3
-0.031544,0.000525,0.005911,3
-0.040673,0.012351,-0.000781,3
-0.037623,-0.001452,-0.005262,3
-0.034594,-0.021175,0.012617,3
-0.025464,-0.015256,-0.003022,3
-0.037623,-0.001452,0.005911,3
-0.025464,-0.009336,-0.005262,3
-0.037623,-0.013278,-0.009728,3
-0.043723,-0.021175,-0.000781,3
-0.028514,-0.001452,-0.014195,3
-0.040673,-0.007372,-0.011954,3
-0.028514,0.006444,-0.005262,3
-0.034594,-0.005394,0.001445,3
-0.028514,0.006444,-0.009728,3
-0.031544,0.008409,-0.011954,3
-0.028514,0.020248,-0.005262,3
-0.013305,0.028132,-0.007488,3
-0.034594,0.02419,0.003685,3
-0.022414,0.030109,0.012617,3
-0.019385,0.020248,0.012617,3
-0.025464,0.006444,0.005911,3
-0.028514,-0.001452,-0.000781,3
-0.028514,-0.021175,-0.003022,3
-0.016335,-0.009336,-0.005262,3
-0.025464,0.000525,-0.003022,3
-0.016335,-0.011314,0.008151,3
-0.028514,-0.001452,-0.003022,3
-0.025464,-0.003417,0.003685,3
-0.034594,0.008409,0.005911,3
-0.016335,-0.015256,0.012617,3
-0.028514,-0.007372,0.010377,3
-0.019385,-0.003417,0.005911,3
-0.028514,-0.001452,-0.003022,3
-0.019385,-0.007372,-0.000781,3
-0.034594,0.00249,0.012617,3
-0.025464,-0.009336,0.008151,3
-0.022414,0.00249,0.003685,3
-0.028514,-0.001452,0.010377,3
-0.028514,0.010386,0.014858,3
-0.025464,0.020248,0.005911,3
-0.037623,0.020248,-0.014195,3
-0.022414,0.00249,-0.025368,3
-0.028514,0.00249,-0.016435,3
-0.028514,-0.003417,0.001445,3
-0.022414,0.008409,-0.005262,3
-0.025464,0.000525,-0.003022,3
-0.025464,0.000525,-0.007488,3
-0.022414,0.01827,-0.011954,3
-0.031544,0.020248,-0.014195,3
-0.031544,0.012351,-0.009728,3
-0.028514,0.000525,-0.007488,3
-0.025464,0.00249,0.003685,3
-0.025464,0.000525,0.003685,3
-0.025464,-0.007372,0.02155,3
-0.031544,0.012351,0.014858,3
-0.028514,-0.001452,0.010377,3
-0.034594,-0.007372,0.005911,3
-0.028514,0.012351,0.008151,3
-0.031544,0.000525,0.010377,3
-0.025464,-0.003417,0.008151,3
-0.028514,0.006444,0.02155,3
-0.034594,-0.015256,0.017084,3
-0.028514,-0.011314,0.012617,3
-0.028514,-0.011314,0.005911,3
-0.025464,-0.009336,-0.007488,3
-0.034594,0.006444,0.010377,3
-0.037623,0.006444,0.003685,3
-0.031544,0.010386,0.005911,3
-0.034594,0.000525,0.012617,3
-0.028514,-0.003417,0.012617,3
-0.028514,-0.011314,0.001445,3
-0.022414,-0.013278,-0.014195,3
-0.025464,0.00249,-0.023127,3
-0.034594,-0.015256,-0.009728,3
-0.031544,-0.007372,-0.007488,3
-0.034594,0.012351,0.003685,3
-0.016335,0.014328,-0.011954,3
-0.034594,-0.003417,-0.005262,3
-0.034594,0.012351,-0.018661,3
-0.034594,0.014328,-0.000781,3
-0.034594,0.008409,-0.005262,3
-0.037623,0.016293,-0.000781,3
-0.034594,0.016293,-0.003022,3
-0.022414,0.006444,-0.003022,3
-0.034594,-0.009336,-0.016435,3
-0.028514,0.000525,-0.011954,3
-0.037623,-0.001452,0.005911,3
-0.028514,0.000525,0.008151,3
-0.034594,-0.003417,0.014858,3
-0.034594,0.000525,0.010377,3
-0.034594,0.00249,-0.000781,3
-0.034594,0.012351,-0.005262,3
-0.028514,0.006444,0.005911,3
-0.034594,-0.001452,0.005911,3
-0.043723,-0.007372,0.001445,3
-0.046753,0.00249,0.008151,3
-0.040673,-0.003417,-0.005262,3
-0.046753,-0.009336,-0.009728,3
-0.037623,-0.007372,0.008151,3
-0.040673,-0.007372,0.010377,3
-0.046753,-0.011314,-0.000781,3
-0.037623,-0.009336,-0.005262,3
-0.040673,-0.003417,-0.007488,3
-0.040673,-0.001452,-0.003022,3
-0.046753,-0.02314,0.005911,3
-0.046753,0.000525,-0.007488,3
-0.040673,0.010386,0.008151,3
-0.040673,-0.007372,0.005911,3
-0.046753,0.000525,0.003685,3
-0.043723,0.01827,-0.007488,3
-0.040673,-0.001452,0.02155,3
-0.046753,0.004467,0.003685,3
-0.034594,-0.001452,0.003685,3
-0.046753,-0.011314,-0.003022,3
-0.052832,0.00249,-0.009728,3
-0.043723,0.014328,0.012617,3
-0.040673,0.000525,-0.005262,3
-0.043723,-0.011314,-0.000781,3
-0.040673,-0.019198,-0.003022,3
-0.037623,-0.003417,0.012617,3
-0.043723,-0.009336,-0.005262,3
-0.037623,-0.019198,-0.005262,3
-0.040673,-0.001452,-0.007488,3
-0.040673,-0.009336,-0.007488,3
-0.046753,0.000525,-0.005262,3
-0.040673,0.000525,-0.000781,3
-0.046753,0.016293,-0.005262,3
-0.040673,-0.001452,0.010377,3
-0.040673,-0.003417,0.010377,3
-0.037623,0.008409,0.017084,3
-0.046753,-0.003417,-0.003022,3
-0.049802,0.004467,0.005911,3
-0.043723,0.00249,0.017084,3
-0.040673,-0.007372,-0.005262,3
-0.046753,0.00249,0.014858,3
-0.037623,-0.003417,-0.003022,3
-0.049802,0.014328,0.005911,3
-0.040673,0.012351,0.008151,3
-0.040673,0.010386,-0.000781,3
-0.034594,0.016293,0.005911,3
-0.037623,-0.003417,-0.009728,3
-0.040673,0.00249,-0.009728,3
-0.040673,0.020248,-0.007488,3
-0.043723,-0.007372,-0.005262,3
-0.049802,-0.013278,0.008151,3
-0.037623,-0.003417,0.003685,3
-0.034594,0.012351,-0.009728,3
-0.043723,0.006444,0.010377,3
-0.034594,0.016293,-0.003022,3
-0.040673,-0.003417,-0.027608,3
-0.046753,-0.001452,-0.005262,3
-0.037623,0.010386,-0.005262,3
-0.043723,-0.005394,-0.000781,3
-0.034594,-0.011314,-0.000781,3
-0.037623,-0.011314,-0.016435,3
-0.043723,0.016293,0.010377,3
-0.037623,-0.003417,-0.003022,3
-0.031544,0.004467,-0.005262,3
-0.040673,0.012351,-0.000781,3
-0.034594,0.014328,-0.009728,3
-0.043723,-0.001452,-0.009728,3
-0.046753,0.004467,-0.009728,3
-0.037623,-0.001452,0.008151,3
-0.034594,-0.009336,0.012617,3
-0.034594,-0.001452,0.003685,3
-0.040673,-0.001452,-0.011954,3
-0.034594,-0.007372,0.003685,3
-0.037623,0.006444,-0.003022,3
-0.037623,0.014328,-0.011954,3
-0.034594,0.020248,0.003685,3
-0.022414,0.006444,-0.007488,3
-0.034594,0.008409,-0.018661,3
-0.037623,-0.003417,-0.011954,3
-0.040673,-0.007372,-0.007488,3
-0.028514,-0.003417,0.003685,3
-0.037623,0.012351,0.003685,3
-0.031544,-0.007372,0.005911,3
-0.028514,-0.015256,0.02155,3
-0.031544,-0.001452,0.003685,3
-0.028514,-0.009336,-0.003022,3
-0.028514,0.000525,-0.003022,3
-0.028514,-0.011314,-0.007488,3
-0.022414,0.000525,-0.000781,3
-0.028514,0.006444,0.003685,3
-0.022414,-0.011314,0.005911,3
-0.022414,0.004467,0.008151,3
-0.028514,0.012351,0.001445,3
-0.025464,-0.009336,0.010377,3
-0.028514,0.004467,-0.000781,3
-0.028514,0.000525,-0.005262,3
-0.028514,0.004467,0.010377,3
-0.025464,-0.005394,-0.005262,3
-0.022414,-0.009336,-0.000781,3
-0.022414,0.00249,-0.005262,3
-0.028514,-0.007372,0.001445,3
-0.025464,0.00249,0.010377,3
-0.034594,-0.009336,0.003685,3
-0.028514,0.004467,0.008151,3
-0.022414,0.000525,0.003685,3
-0.028514,-0.005394,0.005911,3
-0.022414,0.004467,0.003685,3
-0.022414,-0.019198,-0.003022,3
-0.022414,-0.009336,0.001445,3
-0.028514,-0.001452,-0.005262,3
-0.028514,-0.017233,-0.009728,3
-0.031544,-0.003417,-0.009728,3
-0.031544,-0.001452,-0.020901,3
-0.028514,0.020248,0.001445,3
-0.019385,0.014328,0.005911,3
-0.013305,0.000525,0.003685,3
-0.025464,-0.009336,0.003685,3
-0.025464,-0.019198,-0.005262,3
-0.019385,0.000525,-0.005262,3
-0.025464,0.006444,-0.016435,3
-0.025464,0.004467,-0.016435,3
-0.028514,-0.003417,-0.005262,3
-0.022414,0.00249,-0.009728,3
-0.028514,0.010386,0.010377,3
-0.028514,0.012351,0.010377,3
-0.031544,-0.007372,0.012617,3
-0.028514,-0.007372,-0.005262,3
-0.034594,-0.007372,-0.009728,3
-0.034594,0.016293,0.010377,3
-0.025464,0.006444,-0.000781,3
-0.034594,0.000525,0.010377,3
-0.022414,0.006444,0.010377,3
-0.031544,0.012351,-0.003022,3
-0.028514,0.01827,0.003685,3
-0.034594,-0.011314,-0.003022,3
-0.022414,-0.007372,-0.005262,3
-0.034594,0.006444,0.005911,3
-0.031544,0.00249,-0.005262,3
-0.025464,-0.001452,-0.005262,3
-0.034594,0.006444,-0.000781,3
-0.028514,-0.009336,0.003685,3
-0.031544,-0.005394,-0.011954,3
-0.034594,0.006444,-0.005262,3
-0.031544,0.014328,-0.005262,3
-0.028514,-0.003417,0.010377,3
-0.028514,0.000525,0.005911,3
-0.034594,0.000525,0.019324,3
-0.037623,0.000525,-0.011954,3
-0.031544,0.000525,-0.005262,3
-0.028514,0.020248,0.008151,3
-0.028514,0.000525,-0.003022,3
-0.034594,0.00249,0.005911,3
-0.031544,0.000525,0.012617,3
-0.034594,0.004467,-0.009728,3
-0.031544,0.008409,-0.000781,3
-0.025464,0.004467,0.012617,3
-0.028514,0.012351,0.005911,3
-0.034594,0.010386,0.02155,3
-0.031544,0.004467,0.005911,3
-0.031544,0.006444,0.012617,3
-0.034594,0.012351,0.012617,3
-0.025464,0.014328,0.012617,3
-0.034594,0.004467,-0.000781,3
-0.031544,0.004467,0.014858,3
-0.040673,-0.007372,-0.000781,3
-0.046753,-0.001452,0.02379,3
-0.037623,-0.001452,0.02155,3
-0.037623,-0.003417,0.008151,3
-0.028514,-0.009336,0.017084,3
-0.040673,-0.009336,0.008151,3
-0.034594,-0.021175,0.010377,3
-0.031544,-0.019198,0.003685,3
-0.040673,0.000525,0.005911,3
-0.049802,-0.009336,0.014858,3
-0.040673,0.012351,0.001445,3
-0.049802,-0.009336,0.003685,3
-0.037623,0.012351,-0.000781,3
-0.046753,0.010386,-0.003022,3
-0.040673,-0.005394,-0.016435,3
-0.043723,0.008409,0.005911,3
-0.043723,-0.003417,-0.000781,3
-0.046753,-0.003417,-0.000781,3
-0.052832,0.006444,-0.011954,3
-0.040673,0.006444,-0.007488,3
-0.037623,-0.005394,-0.014195,3
-0.040673,0.00249,-0.009728,3
-0.049802,0.006444,0.005911,3
-0.049802,-0.003417,-0.000781,3
-0.046753,-0.009336,0.012617,3
-0.049802,0.004467,0.003685,3
-0.040673,0.006444,0.005911,3
-0.040673,0.028132,0.02155,3
-0.037623,0.01827,0.017084,3
-0.043723,0.000525,0.026031,3
-0.037623,-0.003417,0.010377,3
-0.040673,-0.003417,-0.003022,3
-0.037623,-0.007372,-0.003022,3
-0.049802,-0.011314,0.005911,3
-0.043723,-0.009336,-0.011954,3
-0.043723,-0.017233,-0.005262,3
-0.037623,0.004467,0.014858,3
-0.037623,-0.009336,0.003685,3
-0.034594,0.006444,-0.000781,3
-0.040673,0.022212,0.003685,3
-0.040673,0.012351,-0.000781,3
-0.040673,-0.015256,-0.003022,3
-0.040673,-0.009336,0.008151,3
-0.046753,-0.011314,0.010377,3
-0.031544,0.006444,0.005911,3
-0.043723,0.02419,0.008151,3
-0.037623,0.00249,-0.005262,3
-0.040673,-0.007372,-0.016435,3
-0.043723,-0.005394,0.010377,3
-0.028514,0.004467,-0.007488,3
-0.040673,-0.009336,0.003685,3
-0.037623,-0.007372,-0.007488,3
-0.040673,-0.009336,-0.003022,3
-0.046753,0.016293,-0.011954,3
-0.034594,0.004467,-0.003022,3
-0.040673,-0.003417,0.005911,3
-0.037623,0.008409,0.017084,3
-0.040673,0.016293,0.012617,3
-0.037623,0.00249,0.005911,3
-0.040673,-0.001452,-0.011954,3
-0.043723,0.014328,-0.007488,3
-0.037623,-0.005394,0.005911,3
