@relation mnl2 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.099513,-0.000759,0.01363,1
0.083411,0.000326,0.01644,3
0.24659,-0.001886,0.003427,4
0.214143,0.00016,-0.014467,5
0.157843,-0.009332,-0.003153,6
0.144245,-0.01527,0.073158,7
0.122386,0.025283,-0.016459,1
0.07947,-0.004923,0.011042,3
0.257874,0.003413,0.008162,4
0.214143,0.006248,0.001205,5
0.157843,-0.023142,-0.043887,6
0.141807,0.003093,0.092966,7
0.137619,-0.013795,-0.028487,1
0.063629,-0.012806,0.002982,3
0.257874,-0.009798,0.003427,4
0.209392,0.004228,0.003171,5
0.154496,-0.001043,-0.008223,6
0.141807,-0.003795,-0.025618,7
0.122386,-0.013795,-0.022493,1
0.075503,0.000326,0.005663,3
0.254104,-0.028291,-0.00842,4
0.209392,-0.001861,-0.008597,5
0.151128,-0.006563,-0.033678,6
0.144245,0.014568,-0.005811,7
0.122386,-0.000759,-0.010465,1
0.063629,0.008209,-0.010476,3
0.257874,-0.017729,0.003427,4
0.21176,-0.012005,-0.002713,5
0.157843,0.012767,-0.018432,6
0.149153,-0.008382,-0.08491,7
0.107154,0.016603,-0.010465,1
0.067596,-0.010173,-0.005096,3
0.250335,0.003413,0.003427,4
0.216511,-0.014039,0.007089,5
0.157843,-0.003812,-0.008223,6
0.139353,-0.010668,0.013866,7
0.122386,0.003567,-0.034521,1
0.083411,0.010842,-0.002398,3
0.257874,0.021905,0.020008,4
0.214143,-0.020114,0.001205,5
0.147781,-0.014852,-0.033678,6
0.141807,-0.001494,0.033674,7
0.122386,0.003567,0.007597,1
0.067596,0.005576,-0.002398,3
0.250335,-0.009798,0.010522,4
0.207009,-0.014039,0.003171,5
0.154496,0.001709,0.001952,6
0.144245,-0.001494,0.112643,7
0.122386,0.007922,-0.052583,1
0.083411,0.005576,0.002982,3
0.261618,-0.017729,0.008162,4
0.207009,0.00016,0.001205,5
0.157843,0.009998,-0.028607,6
0.144245,-0.010668,0.053481,7
0.114745,0.003567,-0.028487,1
0.071536,-0.015422,-0.002398,3
0.250335,-0.004517,-0.001309,4
0.209392,-0.012005,0.003171,5
0.154496,-0.001043,-0.008223,6
0.146699,0.019155,0.053481,7
0.152851,-0.02683,-0.016459,1
0.087377,0.010842,0.005663,3
0.257874,0.008694,-0.00842,4
0.202258,0.012337,-0.002713,5
0.151128,0.018287,0.001952,6
0.146699,0.00768,0.013866,7
0.14526,0.007922,-0.016459,1
0.067596,0.013459,-0.007795,3
0.254104,-0.012448,-0.00606,4
0.202258,-0.012005,0.003171,5
0.151128,-0.023142,0.017231,6
0.141807,-0.003795,0.053481,7
0.114745,0.007922,-0.040555,1
0.083411,0.00296,-0.005096,3
0.254104,-0.017729,-0.001309,4
0.207009,-0.005916,-0.000747,5
0.154496,-0.023142,0.001952,6
0.144245,0.000807,0.073158,7
0.091922,0.029638,-0.028487,1
0.075503,-0.028555,-0.007795,3
0.24659,0.011326,0.003427,4
0.209392,0.012337,0.007089,5
0.154496,0.012767,-0.013328,6
0.141807,0.005394,0.152258,7
0.152851,-0.00944,0.01363,1
0.083411,-0.00229,-0.005096,3
0.250335,0.016624,-0.001309,4
0.209392,-0.001861,0.005124,5
0.147781,0.021057,0.012127,6
0.139353,-0.008382,0.13245,7
0.130028,0.020957,-0.034521,1
0.075503,-0.018056,-0.007795,3
0.257874,0.006045,-0.001309,4
0.202258,0.010303,0.005124,5
0.147781,0.018287,0.001952,6
0.144245,0.000807,0.112643,7
0.114745,-0.005114,-0.046549,1
0.083411,0.00296,0.008362,3
0.254104,0.006045,0.005786,4
0.209392,0.004228,0.016891,5
